,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,(instructions from galleries in order A - E are what is necessary for mayan calendar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,d;d_basement;4;1,,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,w,,p;;1;Morning in a Pine Forest by Ivan Shishkin;2;1,,,,z;;2;1;NOON;YUZJGNEF RHCKOUGM BVOCEGMI ZKPNLHOE;2;;notsolid,,,sign;;3,p;;2;A Sunday Afternoon on the Island of La Grande Jatte by Georges Seurat;2;1,,,,p;;3;San Giorgio Maggiore at Dusk by Claude Monet;2;1,,,,p;;4;The Starry Night by Vincent Van Gogh;2;1,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,(in empty frame),,,,,,,,gallery B (time),,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,w
,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,cupid and psyche,,,,,,,,,,,,w
,w,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,,,,,,,,,,,,,,,,,w,,,,anubis (scales),,,,,,,,,,the thinker,,,,,,,
,w,,,,,,,,,,,,,,,,,,,,,w,,,,,,,,,w,w,,,,,w,w,,,,,,,,,w,,,,(weighing),,,,,,,,,,,,,,,,,
,w,,,,,,,,,,,,,,,,,,,,,w,,,,,,,w,w,,,,,,,,,w,w,,,,,,,w,,,,,,,,,,,,,,,,,,,,,
,w,w;;3,w,w,w,w,w,w,w,,,,,,,w,w,w,w,w,w,w,,,,,,w,,,,,,,,,,,,,w,,,,,,w,,,,,,,,,,,,,,,,,,,(puzzle box from paintings),z,w
